Source Account,Tweet,Date,Compound Score,Positive Score,Neutral Score,Negative Score,Tweets Ago
@BBCWorld,"RT @BBCEarth: Just a single piece of plastic is enough to kill a turtle
@BBCScienceNews https://t.co/Zfms3jPUpr",Sat Sep 15 08:18:49 +0000 2018,-0.6908,0.0,0.734,0.266,49
@BBCWorld,RT @BBCNews: Jessi C'Artoon: 'Girl in a mask' draws out school fears https://t.co/ACEoMjdzYI,Sat Sep 15 08:18:06 +0000 2018,-0.4215,0.0,0.797,0.203,50
@BBCWorld,"#TyphoonMangkhut: Philippines wakes to storm destruction

https://t.co/FIcPyEuUTJ https://t.co/ARe1nj5OVO",Sat Sep 15 07:47:39 +0000 2018,-0.5719,0.0,0.654,0.346,51
@BBCWorld,RT @BBCSteveR: He’s back! Pyotr Tchaikovsky returns for day 6 of #RussianMusicWeek. Today I play Tchaikovsky’s ‘Sweet Dream’. @BBCPM @BBCRa…,Sat Sep 15 07:44:10 +0000 2018,0.4003,0.137,0.863,0.0,52
@BBCWorld,'Mariachi musician' gunmen kill three in Mexico City https://t.co/yet95cgQ4u,Sat Sep 15 06:28:13 +0000 2018,-0.6908,0.0,0.63,0.37,53
@BBCWorld,Typhoon Mangkhut: Philippines wakes to storm destruction https://t.co/rus08uQ2IE,Sat Sep 15 04:49:06 +0000 2018,-0.5719,0.0,0.654,0.346,54
@BBCWorld,Russian Orthodox Church cuts ties with Constantinople over Ukraine https://t.co/SXypA0klp2,Sat Sep 15 04:35:42 +0000 2018,-0.296,0.0,0.804,0.196,55
@BBCWorld,Hurricane Florence: Warnings of 'catastrophic' flash flooding https://t.co/YN2NLzpgxm,Sat Sep 15 04:18:53 +0000 2018,-0.296,0.0,0.761,0.239,56
@BBCWorld,"RT @BBCBreaking: At least five dead as Florence mauls US East Coast

·Winds of up to 70mph (110km/h) expected for several days
·Almost 800,…",Sat Sep 15 01:56:01 +0000 2018,-0.6486,0.0,0.842,0.158,57
@BBCWorld,"Puerto Rico hurricane: How was the 3,000 death toll worked out? https://t.co/wkuREK7Fw6",Sat Sep 15 01:49:37 +0000 2018,-0.5994,0.0,0.738,0.262,58
@BBCWorld,Nicaragua crisis: The people caught in the middle https://t.co/3EDa8dGCqQ,Sat Sep 15 01:41:31 +0000 2018,-0.6249,0.0,0.661,0.339,59
